№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
1;Вольеры (два);91466.22;88663.25; у восточного и западного берегов Менажерийного пруда;29.8676470123;59.9109264684
2;Сад;111681.75;94452.48;10-я линия В.О., 3, Большой проспект В.О., 30;29.9709584172;60.0924373424
3;Главное здание (три корпуса). Здесь в 1831-1834 гг. преподавал писатель Гоголь Н.В.;111706.28;94362.89;10-я линия В.О., 3/30, лит.А;29.9693481662;60.0926571458
4;Лазарет;111698.36;94432.65;10-я линия В.О., 3/30, лит.А;29.9706019132;60.0925863465
5;Церковь Святых Захарии и Елисаветы;111752.43;94352.57;10-я линия В.О., 3/30, лит.А;29.9691623115;60.0930713226
6;Флигель с Белым залом;111758.59;94297.77;10-я линия В.О., 3/30, лит.А;29.968177414;60.0931263769
7;Здания, в которых 1885-1918 гг. находились Высшие женские (Бестужевские) курсы. Здесь преподавали Бестужев-Рюмин К.Н., Менделеев Д.И., Бутлеров А.М., Сеченов И.М. и другие деятели науки;111318.42;95081.10;10-я линия В.О., 31, 33, 35, 39;29.9822572869;60.0891782834
8;Дом. Здесь в 1868-1872 гг. жил издатель Поляков Н.П.;111596.86;94548.69;"10-я линия В.О., 5; Большой пр. В.О., 37";29.9726880679;60.0916757818
9;Дом Сиверс С.;111481.12;94803.79;10-я линия Васильевского острова, 19;29.9772731531;60.09063783
10;Дом жилой с флигелем и службами;111470.13;94793.88;10-я линия Васильевского острова, 19;29.9770951368;60.090539158
11;Служебный флигель;111530.38;94803.49;10-я линия Васильевского острова, 19;29.9772674542;60.0910799633
12;Дом, где в ноябре 1905 г. и в 1906 г. жил Ленин В.И.;117191.08;94444.13;"10-я Советская ул., 1-3; Дегтярная ул., 39-41";29.9707641827;60.1418862286
13;Дом, где в июле 1917 г. нелегально жил Ленин В.И.;117387.37;94324.54;10-я Советская ул., 17, кв. 20;29.9686100833;60.1436475235
14;Трансформаторная подстанция;112781.11;91608.46;11-я Красноармейская ул., 28;29.9198237941;60.1022834746
15;Дом К.Г. Чубакова;111107.52;95233.81;11-я линия В.О., 58, лит. А;29.9850022811;60.0872856893
16;Дом А.Н. Васильева;113182.0802;91585.8232;12-я Красноармейская ул., 3, лит. А;29.9194080447;60.1058821336
17;Дом, в котором в 1902-1915 гг. жил академик А.М. Ляпунов;111282.69;94756.37;12-я линия В.О., 27;29.9764222877;60.0888566659
18;Дом А.А. Смирнова;111211.36;94875.24;12-я линия В.О., 29/53, лит. А;29.9785587201;60.0882168089
19;Дом П.А. Бенигсена;111198.86;94959.00;12-я линия В.О., 31, 33, 35;29.9800638689;60.088104853
20;Особняк Э.Э.Бремме;111078.62;95100.85;12-я линия В.О., д. 41, корпус 1, литера Ж;29.9826133338;60.0870259997
21;Дом В.И. Упатчева, А.И. Шульгина и И.Н. Реутова (Рабочего жилищного строительного кооперативного товарищества Металлостроя);111272.82;94683.94;13-я линия В.О., 30, лит. А;29.9751208381;60.0887678368
22;ДОТ-КВ № 230 рубежа «Ижора»;123077.50;84137.42;140 м юго-западнее примыкания Мурзинской ул. к проспекту Обуховской Обороны;29.7849171461;60.1945477819
23;Дом, где в 1912-1941 гг. жил изобретатель парашюта Котельников Г.Е.;111207.63;94614.73;14-я линия В.О., 31-33, лит. А1, А2;29.9738776529;60.0881824802
24;Комплекс зданий Французского благотворительного общества;111014.95;95026.48;14-я линия В.О., 57-61;29.9812773587;60.0864543429
25;Сад;110985.86;95000.84;14-я линия В.О., 57-61;29.9808168127;60.0861931779
26;Ограда;110949.35;94985.38;14-я линия В.О., 57-61;29.9805392252;60.0858654402
27;Часовня;110935.51;95013.65;14-я линия В.О., 57-61, лит. Е;29.9810472438;60.0857412936
28;Больница;110986.15;95019.79;14-я линия В.О., 57-61, лит. Л;29.9811573022;60.0861958304
29;Южный корпус;111009.10;94982.92;14-я линия В.О., 57-61, лит. Л, южный корпус;29.9804947039;60.0864017215
30;ДОТ № 54 КаУР;100825.93;116295.12;1500 м восточнее пересечения ЗСД (41-й км) и Нового шоссе;30.3624255047;59.9945066496
31;Дом, в котором в 1867-1868 гг. жил Репин Илья Ефимович;111073.03;94598.49;15-я линия В.О., 30;29.9735868128;60.0869743157
32;Дом, где с 1865 г. жил и в 1871 г. умер композитор Серов Александр Николаевич (кв. 3, 9 - б.кв.21);111345.37;94232.14;"15-я линия В.О., 8; Большой пр. В.О., 40";29.967001671;60.0894172206
33;Сад;111407.74;94079.90;15-я линия В.О., между домами 2 и 4;29.9642653671;60.0899763085
34;Дом, где с 1908 г. по 1942 г. жил физиолог Ухтомский Алексей Алексеевич;111064.03;94527.40;16-я линия В.О., 29;29.9723095158;60.0868932725
35;Заводоуправление;110608.29;95157.65;17-я линия В.О., д. 54, корпус 1, литера В;29.9836360577;60.0828046699
36;Комплекс построек Подковно-гвоздильного завода Э.Л.Посселя;110589.89;95156.52;"17-я линия В.О., д. 54, корпус 1, литера В; корпус 4, литера А; корпус 5, литера Б; корпус 2, литера Е";29.9836158393;60.0826395175
37;Производственный и складской корпус;110570.87;95103.79;17-я линия В.О., д. 54, корпус 2, литера Е;29.9826685869;60.0824686803
38;Блок цехов (с двумя трубами) и котельная с дымовой трубой;110500.97;95127.16;"17-я линия В.О., д. 54, корпус 4, литера А; корпус 5, литера Б";29.9830887744;60.0818413455
39;ДОТ пулемётный;121808.91;83058.94;180 м южнее здания по адресу: Грузовой проезд, д. 31, к. 3, лит. А;29.7655567717;60.1831287957
40;Офицерское собрание лейб-гвардии Финляндского полка;111201.61;93936.26;18-я линия В.О., 5, лит. А;29.9616863293;60.0881254566
41;ДОТ № 204 рубежа «Ижора»;119673.27;85046.76;190 м северо-восточнее здания по адресу: ул. Димитрова, д. 43, лит. А;29.8014944532;60.1640192315
42;"ДОТ № 59 КаУР ""Комсомолец""";100734.10;115009.72;1900 м юго-восточнее пересечения ЗСД (41 км) и Нового шоссе;30.3393855147;59.9937435765
43;Особняк Криличевской с участком парка;112412.08;98941.27;1-я Березовая аллея, 18;30.0516378264;60.0989856967
44;Особняк Михина с участком парка и оградой;112548.57;99057.12;1-я Березовая аллея, 5;30.053722194;60.1002099389
45;Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии);113523.70;92117.04;1-я Красноармейская ул., 11, лит. А, Б;29.9289519362;60.1089538278
46;Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка;113356.94;92092.02;"1-я Красноармейская ул., 13; Измайловский пр., 2-а";29.9285053255;60.1074568315
47;Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами;113455.66;92044.11;1-я Красноармейская ул., 22;29.9276419812;60.1083424226
48;Дом Леонтьева М.И. (Шуберта Ф.Ф.);112349.41;94748.88;1-я линия В.О., 12;29.9762807473;60.0984310078
49;Дом А. Сверчкова (Кушелевой);112358.85;94777.36;1-я линия В.О., 14, лит. А;29.9767926014;60.0985158283
50;Дом жилой;112263.31;94939.32;"1-я линия В.О., 20-а; Большой пр. В.О., 1; 1-я линия В.О., 20-б; Репина ул., 21";29.9797042963;60.0976587916
51;Дом Л.В.Измайлова (Е.С.Соловейчик);112209.29;94982.56;1-я линия В.О., 22, литера А;29.9804817868;60.0971740526
52;Российская Академия;111928.70;95434.93;1-я линия В.О., 52;29.9886134997;60.0946565768
53;Академия;111922.66;95444.62;1-я линия В.О., 52;29.9887876718;60.0946023799
54;Сад;111914.80;95423.08;1-я линия В.О., 52;29.9884005708;60.0945317982
55;Корпус аптечный;111842.02;95536.69;1-я линия В.О., 58;29.9904426091;60.0938787269
56;Главное здание;111891.87;95564.18;1-я линия В.О., 58;29.9909365344;60.0943261922
57;Корпус квартирный;111854.06;95567.14;1-я линия В.О., 58;29.9909898276;60.0939868316
58;Корпус конторский;111873.31;95520.43;1-я линия В.О., 58;29.9901502978;60.094159549
59;Корпус прачечный;111803.74;95518.07;1-я линия В.О., 58;29.9901080752;60.0935351188
60;Больница им. святой Марии Магдалины;111851.04;95546.78;"1-я линия В.О., 58; 2-я линия В.О., 47";29.9906239235;60.0939596994
61;Сады;111858.81;95543.64;"1-я линия В.О., 58; 2-я линия В.О., 47";29.9905674707;60.0940294351
62;Дом, где в 1841-1844 гг. жил баснописец Крылов И.А.;112379.54;94717.44;1-я линия В.О., 8;29.9757154273;60.0987013364
63;Дом, в котором жил в 1909-1915 гг. Маковский Константин Егорович;111917.16;95503.85;1-я линия В.О., дом 56, квартиры 9, 10, 42;29.9898521948;60.0945531024
64;Церковь Великомученика Димитрия Солунского;112650.19;103124.88;1-я Никитинская ул., 1;30.1268455379;60.1010722922
65;Часовня благоверного князя Александра Невского;112450.11;103206.59;1-я Никитинская ул., на углу Земледельческой ул.;30.1283073814;60.0992750635
66;ДОТ артиллерийский;120048.38;64495.35;200 м восточнее здания по адресу: пос. Пязелево, Набережная ул., д. 1;29.4313126578;60.1663139773
67;ДОТ пулемётный;121965.84;74599.85;200 м западнее здания по адресу: пос. Шушары, Ленсоветовский, д. 25, лит. А;29.6131037589;60.1841798238
68;ДОТ № 115 КаУР;93966.01;115054.74;200 м юго-западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 7, лит. Б;30.3395704192;59.9329942351
69;ДОТ артиллерийский;110195.87;67307.40;"2000 м западнее ж/д станции ""Кондакопшино""";29.4833481806;60.0780942966
70;Особняк Франка А.Л.;110959.58;93902.39;21-я линия В.О., 8-а;29.9610802992;60.0859529311
71;ДОТ № 234 КаУР;97815.84;116952.77;270 м на северо-восток от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д.53, лит. А;30.3739045593;59.9674567995
72;Больница Ольгинского приюта для детей и женщин В.Б. Перовской с садом;114903.51;101927.52;2-й Муринский пр., 12, корп. 3;30.1053863204;60.1213157589
73;Пальмовая оранжерея на участке Елисеева;112116.07;99293.54;2-я Березовая аллея, 17;30.0579651686;60.096326246
