№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
1;Вольеры (два);91466.22;88663.25; у восточного и западного берегов Менажерийного пруда;59.9109264684;29.8676470123
2;Сад;111681.75;94452.48;10-я линия В.О., 3, Большой проспект В.О., 30;60.0924373424;29.9709584172
3;Главное здание (три корпуса). Здесь в 1831-1834 гг. преподавал писатель Гоголь Н.В.;111706.28;94362.89;10-я линия В.О., 3/30, лит.А;60.0926571458;29.9693481662
4;Лазарет;111698.36;94432.65;10-я линия В.О., 3/30, лит.А;60.0925863465;29.9706019132
5;Церковь Святых Захарии и Елисаветы;111752.43;94352.57;10-я линия В.О., 3/30, лит.А;60.0930713226;29.9691623115
6;Флигель с Белым залом;111758.59;94297.77;10-я линия В.О., 3/30, лит.А;60.0931263769;29.968177414
7;Здания, в которых 1885-1918 гг. находились Высшие женские (Бестужевские) курсы. Здесь преподавали Бестужев-Рюмин К.Н., Менделеев Д.И., Бутлеров А.М., Сеченов И.М. и другие деятели науки;111318.42;95081.10;10-я линия В.О., 31, 33, 35, 39;60.0891782834;29.9822572869
8;Дом. Здесь в 1868-1872 гг. жил издатель Поляков Н.П.;111596.86;94548.69;"10-я линия В.О., 5; Большой пр. В.О., 37";60.0916757818;29.9726880679
9;Дом Сиверс С.;111481.12;94803.79;10-я линия Васильевского острова, 19;60.09063783;29.9772731531
10;Дом жилой с флигелем и службами;111470.13;94793.88;10-я линия Васильевского острова, 19;60.090539158;29.9770951368
11;Служебный флигель;111530.38;94803.49;10-я линия Васильевского острова, 19;60.0910799633;29.9772674542
12;Дом, где в ноябре 1905 г. и в 1906 г. жил Ленин В.И.;117191.08;94444.13;"10-я Советская ул., 1-3; Дегтярная ул., 39-41";60.1418862286;29.9707641827
13;Дом, где в июле 1917 г. нелегально жил Ленин В.И.;117387.37;94324.54;10-я Советская ул., 17, кв. 20;60.1436475235;29.9686100833
14;Трансформаторная подстанция;112781.11;91608.46;11-я Красноармейская ул., 28;60.1022834746;29.9198237941
15;Дом К.Г. Чубакова;111107.52;95233.81;11-я линия В.О., 58, лит. А;60.0872856893;29.9850022811
16;Дом А.Н. Васильева;113182.0802;91585.8232;12-я Красноармейская ул., 3, лит. А;60.1058821336;29.9194080447
17;Дом, в котором в 1902-1915 гг. жил академик А.М. Ляпунов;111282.69;94756.37;12-я линия В.О., 27;60.0888566659;29.9764222877
18;Дом А.А. Смирнова;111211.36;94875.24;12-я линия В.О., 29/53, лит. А;60.0882168089;29.9785587201
19;Дом П.А. Бенигсена;111198.86;94959.00;12-я линия В.О., 31, 33, 35;60.088104853;29.9800638689
20;Особняк Э.Э.Бремме;111078.62;95100.85;12-я линия В.О., д. 41, корпус 1, литера Ж;60.0870259997;29.9826133338
21;Дом В.И. Упатчева, А.И. Шульгина и И.Н. Реутова (Рабочего жилищного строительного кооперативного товарищества Металлостроя);111272.82;94683.94;13-я линия В.О., 30, лит. А;60.0887678368;29.9751208381
22;ДОТ-КВ № 230 рубежа «Ижора»;123077.50;84137.42;140 м юго-западнее примыкания Мурзинской ул. к проспекту Обуховской Обороны;60.1945477819;29.7849171461
23;Дом, где в 1912-1941 гг. жил изобретатель парашюта Котельников Г.Е.;111207.63;94614.73;14-я линия В.О., 31-33, лит. А1, А2;60.0881824802;29.9738776529
24;Комплекс зданий Французского благотворительного общества;111014.95;95026.48;14-я линия В.О., 57-61;60.0864543429;29.9812773587
25;Сад;110985.86;95000.84;14-я линия В.О., 57-61;60.0861931779;29.9808168127
26;Ограда;110949.35;94985.38;14-я линия В.О., 57-61;60.0858654402;29.9805392252
27;Часовня;110935.51;95013.65;14-я линия В.О., 57-61, лит. Е;60.0857412936;29.9810472438
28;Больница;110986.15;95019.79;14-я линия В.О., 57-61, лит. Л;60.0861958304;29.9811573022
29;Южный корпус;111009.10;94982.92;14-я линия В.О., 57-61, лит. Л, южный корпус;60.0864017215;29.9804947039
30;ДОТ № 54 КаУР;100825.93;116295.12;1500 м восточнее пересечения ЗСД (41-й км) и Нового шоссе;59.9945066496;30.3624255047
31;Дом, в котором в 1867-1868 гг. жил Репин Илья Ефимович;111073.03;94598.49;15-я линия В.О., 30;60.0869743157;29.9735868128
32;Дом, где с 1865 г. жил и в 1871 г. умер композитор Серов Александр Николаевич (кв. 3, 9 - б.кв.21);111345.37;94232.14;"15-я линия В.О., 8; Большой пр. В.О., 40";60.0894172206;29.967001671
33;Сад;111407.74;94079.90;15-я линия В.О., между домами 2 и 4;60.0899763085;29.9642653671
34;Дом, где с 1908 г. по 1942 г. жил физиолог Ухтомский Алексей Алексеевич;111064.03;94527.40;16-я линия В.О., 29;60.0868932725;29.9723095158
35;Заводоуправление;110608.29;95157.65;17-я линия В.О., д. 54, корпус 1, литера В;60.0828046699;29.9836360577
36;Комплекс построек Подковно-гвоздильного завода Э.Л.Посселя;110589.89;95156.52;"17-я линия В.О., д. 54, корпус 1, литера В; корпус 4, литера А; корпус 5, литера Б; корпус 2, литера Е";60.0826395175;29.9836158393
37;Производственный и складской корпус;110570.87;95103.79;17-я линия В.О., д. 54, корпус 2, литера Е;60.0824686803;29.9826685869
38;Блок цехов (с двумя трубами) и котельная с дымовой трубой;110500.97;95127.16;"17-я линия В.О., д. 54, корпус 4, литера А; корпус 5, литера Б";60.0818413455;29.9830887744
39;ДОТ пулемётный;121808.91;83058.94;180 м южнее здания по адресу: Грузовой проезд, д. 31, к. 3, лит. А;60.1831287957;29.7655567717
40;Офицерское собрание лейб-гвардии Финляндского полка;111201.61;93936.26;18-я линия В.О., 5, лит. А;60.0881254566;29.9616863293
41;ДОТ № 204 рубежа «Ижора»;119673.27;85046.76;190 м северо-восточнее здания по адресу: ул. Димитрова, д. 43, лит. А;60.1640192315;29.8014944532
42;"ДОТ № 59 КаУР ""Комсомолец""";100734.10;115009.72;1900 м юго-восточнее пересечения ЗСД (41 км) и Нового шоссе;59.9937435765;30.3393855147
43;Особняк Криличевской с участком парка;112412.08;98941.27;1-я Березовая аллея, 18;60.0989856967;30.0516378264
44;Особняк Михина с участком парка и оградой;112548.57;99057.12;1-я Березовая аллея, 5;60.1002099389;30.053722194
45;Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии);113523.70;92117.04;1-я Красноармейская ул., 11, лит. А, Б;60.1089538278;29.9289519362
46;Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка;113356.94;92092.02;"1-я Красноармейская ул., 13; Измайловский пр., 2-а";60.1074568315;29.9285053255
47;Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами;113455.66;92044.11;1-я Красноармейская ул., 22;60.1083424226;29.9276419812
48;Дом Леонтьева М.И. (Шуберта Ф.Ф.);112349.41;94748.88;1-я линия В.О., 12;60.0984310078;29.9762807473
49;Дом А. Сверчкова (Кушелевой);112358.85;94777.36;1-я линия В.О., 14, лит. А;60.0985158283;29.9767926014
50;Дом жилой;112263.31;94939.32;"1-я линия В.О., 20-а; Большой пр. В.О., 1; 1-я линия В.О., 20-б; Репина ул., 21";60.0976587916;29.9797042963
51;Дом Л.В.Измайлова (Е.С.Соловейчик);112209.29;94982.56;1-я линия В.О., 22, литера А;60.0971740526;29.9804817868
52;Российская Академия;111928.70;95434.93;1-я линия В.О., 52;60.0946565768;29.9886134997
53;Академия;111922.66;95444.62;1-я линия В.О., 52;60.0946023799;29.9887876718
54;Сад;111914.80;95423.08;1-я линия В.О., 52;60.0945317982;29.9884005708
55;Корпус аптечный;111842.02;95536.69;1-я линия В.О., 58;60.0938787269;29.9904426091
56;Главное здание;111891.87;95564.18;1-я линия В.О., 58;60.0943261922;29.9909365344
57;Корпус квартирный;111854.06;95567.14;1-я линия В.О., 58;60.0939868316;29.9909898276
58;Корпус конторский;111873.31;95520.43;1-я линия В.О., 58;60.094159549;29.9901502978
59;Корпус прачечный;111803.74;95518.07;1-я линия В.О., 58;60.0935351188;29.9901080752
60;Больница им. святой Марии Магдалины;111851.04;95546.78;"1-я линия В.О., 58; 2-я линия В.О., 47";60.0939596994;29.9906239235
61;Сады;111858.81;95543.64;"1-я линия В.О., 58; 2-я линия В.О., 47";60.0940294351;29.9905674707
62;Дом, где в 1841-1844 гг. жил баснописец Крылов И.А.;112379.54;94717.44;1-я линия В.О., 8;60.0987013364;29.9757154273
63;Дом, в котором жил в 1909-1915 гг. Маковский Константин Егорович;111917.16;95503.85;1-я линия В.О., дом 56, квартиры 9, 10, 42;60.0945531024;29.9898521948
64;Церковь Великомученика Димитрия Солунского;112650.19;103124.88;1-я Никитинская ул., 1;60.1010722922;30.1268455379
65;Часовня благоверного князя Александра Невского;112450.11;103206.59;1-я Никитинская ул., на углу Земледельческой ул.;60.0992750635;30.1283073814
66;ДОТ артиллерийский;120048.38;64495.35;200 м восточнее здания по адресу: пос. Пязелево, Набережная ул., д. 1;60.1663139773;29.4313126578
67;ДОТ пулемётный;121965.84;74599.85;200 м западнее здания по адресу: пос. Шушары, Ленсоветовский, д. 25, лит. А;60.1841798238;29.6131037589
68;ДОТ № 115 КаУР;93966.01;115054.74;200 м юго-западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 7, лит. Б;59.9329942351;30.3395704192
69;ДОТ артиллерийский;110195.87;67307.40;"2000 м западнее ж/д станции ""Кондакопшино""";60.0780942966;29.4833481806
70;Особняк Франка А.Л.;110959.58;93902.39;21-я линия В.О., 8-а;60.0859529311;29.9610802992
71;ДОТ № 234 КаУР;97815.84;116952.77;270 м на северо-восток от здания по адресу: Санкт-Петербург, пос. Белоостров, Новое шоссе, д.53, лит. А;59.9674567995;30.3739045593
72;Больница Ольгинского приюта для детей и женщин В.Б. Перовской с садом;114903.51;101927.52;2-й Муринский пр., 12, корп. 3;60.1213157589;30.1053863204
73;Пальмовая оранжерея на участке Елисеева;112116.07;99293.54;2-я Березовая аллея, 17;60.096326246;30.0579651686
74;Жилой дом с участком парка;112008.38;98998.46;2-я Березовая аллея, 28;60.0953618795;30.0526600519
75;Особняк Гаусвальда с тремя службами, участком парка и оградой;111874.59;98939.49;"2-я Березовая аллея, 32; Большая аллея, 12-14";60.0941614608;30.0515983251
76;Приют Ананьевой с участком парка и оградой;112500.78;99303.19;2-я Березовая аллея, 3-5;60.0997791386;30.0581446686
77;Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества);113545.04;91962.47;2-я Красноармейская ул., 12;60.109143839;29.9261723002
78;Дом И.Ф. Смирнова;112080.49;95083.08;2-я линия В.О., 29, лит. А, Б;60.0960182637;29.982289146
79;Корпус служебный;111822.11;95489.26;2-я линия В.О., 47;60.0936999584;29.9895902528
80;Покойницкая;111795.42;95493.78;2-я линия В.О., 47;60.0934604083;29.9896715627
81;Дом по 2-й Советской ул. с дворовым флигелем;116874.44;93655.86;2-я Советская ул., 27;60.1390403238;29.9565804914
82;АПК №1 КаУР;94487.15;114017.34;300 м на северо-восток от Сестрорецкого кладбища;59.9377181971;30.321062036
83;ДОТ № 123 КаУР;94448.60;114419.87;364 м северо-восточнее от западной границы Сестрорецкого воинского мемориального кладбища, в 125 м восточнее Приморского шоссе и 73 м западнее железной дороги;59.937354483;30.3282587538
84;Павильон на острове;110344.08;98990.63;3-й Южный пруд;60.08042397;30.052495681
85;Флигель жилой;112214.00;94675.63;3-я линия В.О., 2, лит. Б;60.0972153885;29.9749650446
86;Мастерская мозаичная;112257.71;94620.01;3-я линия В.О., 2, лит. И;60.0976075135;29.9739650261
87;Собственный дом архитектора Л.Н.Бенуа;111986.12;95036.09;3-я линия В.О., 20;60.0951711268;29.9814450674
88;Дом Г.А.Бернштейна;116732.71;93843.95;3-я Советская ул., 9, лит. А;60.1377693048;29.9599670396
89;ДОТ № 124 КаУР;94203.70;114196.95;40 м севернее от северной границы Сестрорецкого воинского мемориального кладбища, в 96 м западнее Приморского шоссе;59.935166214;30.3242499428
90;ДОТ № 113 КаУР;93679.04;115141.43;45 м западнее здания по адресу: Санкт-Петербург, г. Сестрорецк, Заречная дорога, д. 3, к. 1, лит. А;59.9304145149;30.3410944144
91;Мастерская батальная;112185.98;94531.58;4-я линия В.О., 1-3, в саду;60.0969633747;29.9723761226
92;Дом Боссе Г.Э.;111950.41;94965.60;4-я линия В.О., 15;60.0948504251;29.9801783633
93;Дом жилой;111936.26;94948.22;4-я линия В.О., 15;60.0947233737;29.9798660785
94;Сад;111963.79;94967.70;4-я линия В.О., 15;60.0949705232;29.9802160329
95;Флигель;111937.79;94975.47;4-я линия В.О., 15;60.0947371808;29.9803558209
96;Ограда с воротами;111914.87;94962.87;4-я линия В.О., 15;60.0945314277;29.9801294926
97;Доходный дом Прохоровых;111880.59;95054.74;4-я линия В.О., 21;60.0942239876;29.9817807891
98;Главный дом;111873.78;95048.58;4-я линия В.О., 21;60.0941628488;29.9816701145
99;Служебный флигель;111913.16;95085.93;4-я линия В.О., 21;60.0945163973;29.9823411844
100;Три флигеля;111901.39;95064.97;4-я линия В.О., 21;60.0944107039;29.9819645416
101;Флигель жилой;112130.12;94626.64;4-я линия В.О., 3, лит. Б;60.0964623512;29.974085102
102;Квартира, где в 1915-1929 гг. жил художник Рылов Аркадий Александрович;111761.94;95262.90;4-я линия В.О., 31, кв. 24 (б. кв. 12);60.0931595113;29.9855223639
103;Жилой флигель;111692.01;95365.05;4-я линия В.О., 39, лит. Б;60.0925320446;29.9873584132
104;Два жилых флигеля;111693.04;95365.87;4-я линия В.О., 39, лит. Б, В;60.0925412908;29.9873731461
105;Жилой флигель;111709.01;95333.83;4-я линия В.О., 39, лит. В;60.0926845726;29.9867972867
106;Дом Форостовского П.П.;111989.06;94888.13;4-я линия В.О., 9;60.0951971104;29.9787858026
107;Дом жилой с зимним садом;111972.81;94879.00;4-я линия В.О., 9;60.0950512315;29.9786218069
108;Палисадник;111963.67;94877.18;4-я линия В.О., 9;60.0949691899;29.9785891504
109;Сад;112003.85;94894.95;4-я линия В.О., 9;60.0953298781;29.978908291
110;Флигели (два);111996.82;94882.18;4-я линия В.О., 9;60.095266743;29.9786788192
111;Ограда с воротами;111962.18;94876.86;4-я линия В.О., 9;60.0949558155;29.978583408
112;Дом Закуриной;113450.79;91752.61;5-я Красноармейская ул., 19;60.1082957339;29.9224009415
113;Дом, в котором с 1880 по 1884 гг. жил Шишкин Иван Иванович;112065.23;94582.75;5-я линия В.О., 10/5;60.0958797717;29.9732967229
114;Дом с флигелем;111940.26;94822.38;5-я линия В.О., 20;60.0947589082;29.9776043941
115;Службы;111934.41;94806.55;5-я линия В.О., 20;60.0947063524;29.9773199255
116;Фабрика братьев Бух и дом с флигелем Ф.А.Гутхейля;111926.73;94809.32;"5-я линия В.О., 20; Волжский пер., 13";60.0946374291;29.9773697571
117;Дом, где жили: в 1862-1863 гг. - писатель Салтыков-Щедрин М.Е., в 1870 г. - художник Репин И.Е., в 1882-1898 гг. - художник Шишкин И.И.;111866.94;94912.98;5-я линия В.О., 30;60.0941010917;29.9792331235
118;Дом жилой Бонштедта М.Э.;111841.28;94947.51;5-я линия В.О., 32;60.093870877;29.9798538447
119;Лечебница для нервнодушевнобольных Бари А.Э.;111547.43;95466.71;5-я линия В.О., 58-60;60.0912345289;29.9891858115
120;Корпус северный;111561.91;95488.81;5-я линия В.О., 58-60;60.091364527;29.9895829199
121;Главное здание;111568.64;95461.94;5-я линия В.О., 58-60;60.0914248925;29.9891000274
122;Флигель;111560.47;95432.36;5-я линия В.О., 58-60;60.0913515167;29.9885684798
123;Корпус южный;111589.47;95445.36;5-я линия В.О., 58-60;60.0916118272;29.9888020083
124;Дом, где в 1840-1844 гг. жил поэт и художник Шевченко Тарас Григорьевич. Здесь с 1875 г. по 1879 г. жил композитор Мусоргский Модест Петрович (кв. 29, 30-б, кв. 25, 26);112084.39;94549.44;"5-я линия В.О., 8; Бугский пер., 1-3; Волжский пер., 1";60.0960516193;29.9726978943
125;Церковь Благовещения Пресвятой Богородицы;116898.71;94014.11;5-я Советская ул., 31-33, лит. А;60.1392601265;29.9630275515
126;Подворье Старо-Афонского Свято-Андреевского мужского скита;116884.53;94003.22;5-я Советская ул., 31-33, лит. А, Б, В;60.1391327993;29.962831711
127;Флигель для монахов;116874.93;94000.56;5-я Советская ул., 31-33, лит. Б;60.1390466214;29.9627839377
