№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
1;Вольеры (два);91466.22;88663.25; у восточного и западного берегов Менажерийного пруда
2;Сад;111681.75;94452.48;10-я линия В.О., 3, Большой проспект В.О., 30
3;Главное здание (три корпуса). Здесь в 1831-1834 гг. преподавал писатель Гоголь Н.В.;111706.28;94362.89;10-я линия В.О., 3/30, лит.А
4;Лазарет;111698.36;94432.65;10-я линия В.О., 3/30, лит.А
5;Церковь Святых Захарии и Елисаветы;111752.43;94352.57;10-я линия В.О., 3/30, лит.А
6;Флигель с Белым залом;111758.59;94297.77;10-я линия В.О., 3/30, лит.А
7;Здания, в которых 1885-1918 гг. находились Высшие женские (Бестужевские) курсы. Здесь преподавали Бестужев-Рюмин К.Н., Менделеев Д.И., Бутлеров А.М., Сеченов И.М. и другие деятели науки;111318.42;95081.10;10-я линия В.О., 31, 33, 35, 39
8;Дом. Здесь в 1868-1872 гг. жил издатель Поляков Н.П.;111596.86;94548.69;"10-я линия В.О., 5; Большой пр. В.О., 37"
9;Дом Сиверс С.;111481.12;94803.79;10-я линия Васильевского острова, 19
10;Дом жилой с флигелем и службами;111470.13;94793.88;10-я линия Васильевского острова, 19
11;Служебный флигель;111530.38;94803.49;10-я линия Васильевского острова, 19
12;Дом, где в ноябре 1905 г. и в 1906 г. жил Ленин В.И.;117191.08;94444.13;"10-я Советская ул., 1-3; Дегтярная ул., 39-41"
13;Дом, где в июле 1917 г. нелегально жил Ленин В.И.;117387.37;94324.54;10-я Советская ул., 17, кв. 20
14;Трансформаторная подстанция;112781.11;91608.46;11-я Красноармейская ул., 28
15;Дом К.Г. Чубакова;111107.52;95233.81;11-я линия В.О., 58, лит. А
16;Дом А.Н. Васильева;113182.0802;91585.8232;12-я Красноармейская ул., 3, лит. А
17;Дом, в котором в 1902-1915 гг. жил академик А.М. Ляпунов;111282.69;94756.37;12-я линия В.О., 27
18;Дом А.А. Смирнова;111211.36;94875.24;12-я линия В.О., 29/53, лит. А
19;Дом П.А. Бенигсена;111198.86;94959.00;12-я линия В.О., 31, 33, 35
20;Особняк Э.Э.Бремме;111078.62;95100.85;12-я линия В.О., д. 41, корпус 1, литера Ж
21;Дом В.И. Упатчева, А.И. Шульгина и И.Н. Реутова (Рабочего жилищного строительного кооперативного товарищества Металлостроя);111272.82;94683.94;13-я линия В.О., 30, лит. А
22;ДОТ-КВ № 230 рубежа «Ижора»;123077.50;84137.42;140 м юго-западнее примыкания Мурзинской ул. к проспекту Обуховской Обороны
